name,ric,currency,org_permid,isin
UOB-KAY HIAN HDG.,UOKH.SI,S$,5000041413.0,SG1J21887414
VALUEMAX GROUP,VAMG.SI,S$,5040251814.0,SG2G29997704
YANGZIJIANG FINANCIAL HOLDING,YANZ.SI,S$,5082503659.0,SGXE77102635
YANGZIJIANG MARITIME DEVELOPMENT,YANI.SI,S$,5095970576.0,SGXE35825913
CSE GLOBAL,CSES.SI,S$,4295887891.0,SG1G47869290
HONG LEONG FINANCE,HLSF.SI,S$,4295888135.0,SG1M04001939
HOTEL PROPERTIES,HPPS.SI,S$,4295887404.0,SG2P14002527
NTT DC REIT UNITS,NTTD.SI,U$,5094135710.0,SGXC92727947
PACIFIC CEN.REGL.DEVS.,PCEN.SI,S$,4295887492.0,SG1J17886040
PARKWAY LIFE REIT,PWLR.SI,S$,4295888104.0,SG1V52937132
WING TAI HOLDINGS,WTHS.SI,S$,4295887382.0,SG1K66001688
BUMITAMA AGRI,BUMI.SI,S$,5037360895.0,SG2E67980267
CENTURION,CNCL.SI,S$,4295887576.0,SG2D51973063
CENTURION ACCOMMODATION REIT UNITS,CENT.SI,S$,5096812621.0,SGXC43938841
CHINA XLX FERTILISER,1866.HK,K$,4295864452.0,SG1V07936171
HONG LEONG ASIA,HLAA.SI,S$,4295887917.0,SG1F76860344
HOTEL101 GLOBAL HOLDINGS A,HBNB.O,U$,5094179891.0,KYG461271093
LENDLEASE GLOBAL COMMERCIAL REIT,LEND.SI,S$,5069468244.0,SGXC61949712
MIRXES HOLDING,2629.HK,K$,5082428583.0,KYG6152E1052
OUE REAL ESTATE INVESTMENT TRUST,OUEI.SI,S$,5040952038.0,SG2G60000004
RAFFLES MEDICAL GP.,RAFG.SI,S$,4295887953.0,SG1CH4000003
UMS INTEGRATION,UMSI.SI,S$,4295887458.0,SG1J94892465
YANLORD LAND GROUP,YNLG.SI,S$,4295863986.0,SG1T57930854
FTSE ST CATALIST IDX MOYA ASIA,,S$,,No universe defined.
SOILBUILD CONSTRUCTION GP,SOIL.SI,S$,5039800697.0,SGXE48424142
CLEARBRIDGE HEALTH,CLEA.SI,S$,5044169266.0,SG1EB6000000
EVER GLORY UNITED HOLDINGS,EVER.SI,S$,5086458689.0,SGXE22056548
FTSE ASIA PACIFIC STGY. INV.,,S$,,No universe defined.
LEONG GUAN HOLDINGS,LEON.SI,S$,5097052154.0,SGXE13084095
SERIAL ACHIEVA,SERI.SI,S$,5047293358.0,MYA010LA0136
SMJ INTERNATIONAL HOLDINGS A,SMJF.K,U$,5096759812.0,KYG824541026
UNITED HAMPSHIRE US UNITS,UNIE.SI,U$,5073357645.0,SGXC39411175
A-SONIC AEROSPACE,ASON.SI,S$,4295888049.0,SG1CH8000009
ACROMETA GROUP,ACRO.SI,S$,5050704109.0,SG1CH1000006
ALITA RESOURCES SUSP - SUSP.14/08/19,ALIT.SI,S$,5043317258.0,AU0000031270
ALPHA PROFESSIONAL HOLDINGS,0948.HK,K$,4295863886.0,BMG6847W1064
AMOS GROUP SUSP - SUSP.13/12/24,AMOS.SI,S$,5037849781.0,SGXE89972934
APAC REALTY,APAC.SI,S$,5040225641.0,SG1DJ0000001
ASCENT BRIDGE,ASCE.SI,S$,4295887426.0,SG1AJ1000006
ASPEN (GROUP) HOLDINGS,ASPE.SI,S$,5056410950.0,SG1DI2000001
ASPIAL LIFESTYLE,ASPL.SI,S$,5036794334.0,SG2E90982678
AZTECH GLOBAL,AZTE.SI,S$,5037037283.0,SGXE54866863
BBR HOLDINGS (S),BBRS.SI,S$,4295887873.0,SG1Z42953799
BHG RETAIL REIT UNITS,BHGR.SI,S$,5047230927.0,SG1CD7000009
BROOK CROMPTON HOLDINGS,BROO.SI,S$,4295887566.0,SG1AI8000001
BUND CENTER INVESTMENT,BCIL.SI,S$,5000771048.0,BMG1792W1367
CAPITAL WORLD,CAPI.SI,S$,5040058389.0,KYG8763X1189
CHINA SHENSHAN ORCHARD HOLDINGS,CHIS.SI,S$,4298061677.0,BMG2860H2096
COOLAN GROUP SUSP - SUSP.18/11/21,COOL.SI,S$,4295887662.0,SG1CE0000004
CORDLIFE GROUP,CORD.SI,S$,4296047954.0,SG2E64980112
DATAPULSE TECHNOLOGY,DATA.SI,S$,4295887583.0,SG1CB7000003
DEBAO PROPERTY DEV. SUSP - SUSP.18/01/21,DPDL.SI,S$,4297897935.0,SG1CH6000001
DIGILIFE TECHNOLOGIES,DIGI.SI,S$,4295887929.0,SG1BD0000008
DUTY FREE INTERNATIONAL,DUTY.SI,S$,4295887816.0,SG2C70966271
ENECO ENERGY,ENEC.SI,S$,4295888054.0,SG1P35918371
ENIGMATIG A,EGG,U$,5093508260.0,KYG3066T1040
ENVIRO-HUB HOLDINGS,EHHL.SI,S$,4295887918.0,SG1G27865383
FBS GLOBAL,FBGL.O,U$,5083793578.0,KYG3337S1093
FJ BENJAMIN HOLDINGS,FJBN.SI,S$,4295887882.0,SG1D58018368
FUXING CHINA GROUP,FXCG.SI,S$,4295863785.0,BMG3705H2069
GHY CULTURE & MEDIA,GHYC.SI,S$,5079228914.0,KYG3452A1076
GLOBAL RESOURCE CONSTRUCTION,GLOR.SI,S$,4295887406.0,SGXPG02D6ZP7
GSS ENERGY,GSSE.SI,S$,5044036448.0,SG1AG6000007
H2G GREEN,H2GG.SI,S$,4295887700.0,SG1I98885227
HAFARY HOLDINGS,HFRY.SI,S$,5000492182.0,SG2F75992345
HENGYANG PETROCH.LOGIST. SUSP - SUSP.16/10/25,HNYG.SI,S$,5000124145.0,SG1Y78948920
HEPTAMAX INTERNATIONAL,HEPT.SI,S$,5000435521.0,SGXE87077033
HOTEL GRAND CENTRAL,HGCS.SI,S$,4295887489.0,SG1J41888780
HOTUNG INVESTMENT HDG.,HOTU.SI,S$,4295891681.0,BMG4612P2085
HS OPTIMUS HOLDINGS,HSOP.SI,S$,4295887908.0,SG1G23864448
HYFLUX SUSP - SUSP.21/05/18,HYFL.SI,S$,4295888031.0,SG1J47889782
INDOFOOD AGRI RESOURCES,IFAR.SI,S$,4298042070.0,SG1U47933908
INTERNATIONAL CEMENT GROUP,INTN.SI,S$,5068319391.0,SGXE38602509
INTRACO,ITRS.SI,S$,4295887629.0,SG1D87001195
ISEC HEALTHCARE,ISEC.SI,S$,5044012284.0,SG1AD9000001
ISOTEAM,ISOT.SI,S$,5040048864.0,SG2F95994529
JEP HOLDINGS,JEPH.SI,S$,4295888171.0,SG1EE3000007
JUBILEE INDUSTRIES HDG.,JLJH.SI,S$,5000051691.0,SGXE67467741
KENCANA AGRI,KCAL.SI,S$,4298052273.0,SG1CE4000000
KING WAN CORPORATION,KIWC.SI,S$,4295887709.0,SG1J32888328
KSH HOLDINGS,KSHH.SI,S$,4295888121.0,SG1W44939146
LEADER ENV.TECHS.,LETL.SI,S$,5000771020.0,SG2B93959478
LEY CHOON GROUP HLDG,LEYC.SI,S$,4295887982.0,SG2F02983607
LINCOTRADE & ASSOCIATES HOLDINGS,LINO.SI,S$,4295865425.0,SG1BH7000002
LUM CHANG HOLDINGS,LUCS.SI,S$,4295887428.0,SG1E20001293
LY CORPORATION,LYCO.SI,S$,5060002734.0,SG1EC1000003
