company,ticker,country,Year,emissions_intensity,environmental_investment,internal_carbon_pricing
AN GIA RLST. INVESMENT,VN000000AGG8,Vietnam,2016,329.77443202,,
AN GIA RLST. INVESMENT,VN000000AGG8,Vietnam,2017,281.85526935,,
AN GIA RLST. INVESMENT,VN000000AGG8,Vietnam,2018,341.79807659,,
AN GIA RLST. INVESMENT,VN000000AGG8,Vietnam,2019,348.10503636,,
AN GIA RLST. INVESMENT,VN000000AGG8,Vietnam,2020,307.89815333,,
AN GIA RLST. INVESMENT,VN000000AGG8,Vietnam,2021,252.49136683,,
AN GIA RLST. INVESMENT,VN000000AGG8,Vietnam,2022,265.00080916,,
AN GIA RLST. INVESMENT,VN000000AGG8,Vietnam,2023,451.95311115,,
AN GIA RLST. INVESMENT,VN000000AGG8,Vietnam,2024,487.69464468,,
AN GIANG FRUIT-,VN000000ANT7,Vietnam,2020,641.60467355,,
AN GIANG FRUIT-,VN000000ANT7,Vietnam,2022,707.40207892,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2015,4291.8649302,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2016,4782.57018278,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2017,4079.86245253,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2018,3442.18490175,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2019,3528.39697943,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2020,3586.59753117,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2021,3004.79224179,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2022,2574.16680234,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2023,2107.445255,,
AN PHA PETROLEUM GROUP,VN000000ASP4,Vietnam,2024,2074.19724804,,
AN PHAT HOLDINGS JSC,VN000000APH7,Vietnam,2018,572.8321051,,
AN PHAT HOLDINGS JSC,VN000000APH7,Vietnam,2019,880.65843846,,
AN PHAT HOLDINGS JSC,VN000000APH7,Vietnam,2020,1037.64681895,,
AN PHAT HOLDINGS JSC,VN000000APH7,Vietnam,2021,1027.94137054,,
AN PHAT HOLDINGS JSC,VN000000APH7,Vietnam,2022,1036.89554852,,
AN PHAT HOLDINGS JSC,VN000000APH7,Vietnam,2023,1444.0454701,,
AN PHAT HOLDINGS JSC,VN000000APH7,Vietnam,2024,1600.72674827,,
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2015,480.40765992,,
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2016,491.81551457,,
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2017,476.21712675,,
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2018,463.31813774,,
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2019,849.59049886,,
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2020,949.53581435,,
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2021,959.50393708,,
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2022,956.14932461,,
AN PHAT PLAST.&GRN.ENVM.,VN000000AAA4,Vietnam,2023,861.68682059,,
